idx,start,artist,title,bpm,song_key,camelot,duration_ms,genres,release_date,show_date,show_venue,show_cost,show_url
1,0:00,Afroman,Colt 45 (Nicole Fiallo Edit),126,,8A,400046,"House, Afro House",,2026-08-01,Superior Ingredients,$20-50,https://ra.co/events/2460892
2,3:40,Sammy Virji,925,132,G Minor,7A,168623,"House, Garage",2025-08-22,2026-07-31,Brooklyn Army Terminal,,https://ra.co/events/2370382
3,6:26,tama gucci,Sweater (Swami Sound & Age Remix),134,,8A,216091,"House, Club",,2026-07-31,Little Island,$0,https://ra.co/events/2484746
4,8:50,YOTTO,Buggy (Extended Mix),123,A Minor,8A,444413,"Progressive House, Tech House",2020-08-13,2026-08-01,BK Backyard,$50,https://ra.co/events/2496258
5,14:00,Nick Curly,A Little Conversation (Franky Rizardo Remix),128,E Minor,9A,202523,House,2025-02-28,2026-08-02,Superior Ingredients,from $25.85,https://ra.co/events/2455148
6,16:34,AC Slater,For The Funk,131,Bb Major,11A,301570,House,2022-02-04,2026-08-23,Superior Ingredients,$34.50,https://ra.co/events/2431143
7,18:30,Anetha,Let me d&be,172,Gb Minor,11A,259788,Techno,2024-03-22,2026-07-30,public records,from $23,https://ra.co/events/2459008
8,21:10,Sara Landry,Reality Check,155,Gb Major,11A,292728,"Techno, Industrial",2026-04-10,2026-07-31,Under the K Bridge,$75-$150,https://ra.co/events/2388129
9,25:25,Spencer Brown & Qrion,MT. DS,125,,11A,314000,Melodic House & Techno,2026-02-27,2026-07-31,House of Yes,,https://ra.co/events/2471147
10,28:10,Cloonee,Holla,130,Db Minor,12A,178560,"House, Tech House",2021-07-09,2026-08-15,Brooklyn Army Terminal,$70,https://ra.co/events/2386213
11,32:00,Traumer,Round Circle,129,Gb Minor,12A,237721,"House, Minimal",2026-03-13,2026-07-31,Sunset Park Rooftop,$55,https://ra.co/events/2412599
12,34:50,Spencer Brown,Good Times (Extended Mix),127,Db Minor,12A,469564,"Progressive House, Deep House",2023-09-29,2026-07-31,House of Yes,$15-35,https://ra.co/events/2471147
13,39:30,Claude VonStroke & Honeycomb,Bam Bam,125,,1A,372506,House,2025-12-05,2026-08-07,Knockdown Center,,https://ra.co/events/2426894
14,42:15,Alok & Gui Boratto,Love Will Find A Way (feat. House Of EL),128,B Major,1B,182858,Bass House,2025-12-12,2026-08-01,Pacha New York,,https://ra.co/events/2461171
15,45:15,Spencer Brown & Qrion,20ms (Extended Mix),125,,4A,405000,Progressive House,2023-08-30,2026-07-31,House of Yes,,https://ra.co/events/2471147
16,49:03,ARTBAT & Vintage Culture,She The Last One,127,,4A,360968,Melodic House & Techno,2025-01-17,2026-07-31,Pacha New York,,https://ra.co/events/2486834
17,52:38,Charlotte de Witte,The Realm,141,C Major,5A,357490,Techno,2025-04-10,2026-08-07,Knockdown Center,,https://dice.fm/event/q2vwdy-charlotte-de-witte-7th-aug-knockdown-center-new-york-tickets
18,55:02,Hannah Laing,4am In A Rave (feat. rhys from the sticks) [Extended Mix],147,C Major,5A,289236,"Techno, Industrial",2025-03-21,2026-07-31,Under the K Bridge,$75-$150,https://ra.co/events/2388129
19,58:55,Spencer Brown & Qrion,Rainy April,125,,10A,453000,Melodic House & Techno,2021-08-27,2026-07-31,House of Yes,,https://ra.co/events/2471147
