Expense,Amount,Notes,Status
Signal NYC — Bar pre-purchase,4385.0,"Paid via Bluevine ACH ($3,000 on 4/16 + $1,385 on 5/8)",Settled
Postnet — Fliers,65.33,100 color flyers (5/5),Settled
Crossroads Cafe — Pastries,300.0,AOM-funded; not yet paid,Owed
