Step,Amount
Current Bluevine balance (as of 5/11),3078.56
+ RA payout incoming,438.0
+ Zeffy payout pending (5/9 txns),853.0
= Projected Bluevine balance,4369.56
− MS Society donation (still owed),-2485.0
− Crossroads pastries (still owed),-300.0
= Final available pool,1584.56
