Item,Amount,Notes,Type
MS Society donation,2485.0,To be paid from Bluevine after event,Owed
Crossroads pastries,300.0,AOM-funded expense not yet paid,Owed
RA payout,438.0,20 tickets × $21.90 — payout pending from RA platform,Pending inflow
Zeffy payout (5/9 transactions),853.0,"Sum of 5/9/2026 Zeffy transactions with ""Upcoming"" payout date",Pending inflow
