Source,Amount,Channel
Zeffy — Ticket sales & packages,1700.0,Bluevine
Zeffy — Donations,455.0,Bluevine
Zeffy — Sponsorships,3725.0,Bluevine
Resident Advisor (RA) tickets,438.0,Pending Bluevine
AOM Infusion (direct wire),2500.0,Bluevine
MS Society DIY page,445.0,Direct to MS (never Bluevine)
Bank interest (March),1.89,Bluevine
TOTAL,9264.89,
